,age,ec_risk_MLH1,oc_risk_MLH1,ac_death_risk,ec_risk_MSH2,oc_risk_MSH2,ec_risk_MSH6,oc_risk_MSH6,ec_risk_PMS2,oc_risk_PMS2
35,60,0.011437664951223447,0.0010056511681351132,0.006717,0.014637093937914014,0.0037586254266768204,0.019472871492971167,0.0030982235235095246,0.005144949447489222,0.0006906138854146926
36,61,0.011437664951223447,0.0010056511681351132,0.007193,0.014637093937914014,0.0037586254266768204,0.019472871492971167,0.0030982235235095246,0.005144949447489222,0.0006906138854146926
37,62,0.011437664951223447,0.0010056511681351132,0.007727,0.014637093937914014,0.0037586254266768204,0.019472871492971167,0.0030982235235095246,0.005144949447489222,0.0006906138854146926
38,63,0.011437664951223447,0.0010056511681351132,0.008328,0.014637093937914014,0.0037586254266768204,0.019472871492971167,0.0030982235235095246,0.005144949447489222,0.0006906138854146926
39,64,0.011437664951223447,0.0010056511681351132,0.008995,0.014637093937914014,0.0037586254266768204,0.019472871492971167,0.0030982235235095246,0.005144949447489222,0.0006906138854146926
40,65,0.011437664951223447,0.0010056511681351132,0.009724,0.014637093937914014,0.0037586254266768204,0.019472871492971167,0.0030982235235095246,0.005144949447489222,0.0006906138854146926
41,66,0.011437664951223447,0.0010056511681351132,0.010529,0.014637093937914014,0.0037586254266768204,0.019472871492971167,0.0030982235235095246,0.005144949447489222,0.0006906138854146926
42,67,0.011437664951223447,0.0010056511681351132,0.011439,0.014637093937914014,0.0037586254266768204,0.019472871492971167,0.0030982235235095246,0.005144949447489222,0.0006906138854146926
43,68,0.011437664951223447,0.0010056511681351132,0.012478,0.014637093937914014,0.0037586254266768204,0.019472871492971167,0.0030982235235095246,0.005144949447489222,0.0006906138854146926
44,69,0.011437664951223447,0.0010056511681351132,0.013698,0.014637093937914014,0.0037586254266768204,0.019472871492971167,0.0030982235235095246,0.005144949447489222,0.0006906138854146926
45,70,0.005618333193698977,0.002257359374357115,0.015139,0.009137428976129569,0.0037586254266768204,0.003418883478507051,0.0022522751281678355,0.002277409212006365,0.0006906138854146926
46,71,0.005618333193698977,0.002257359374357115,0.016756,0.009137428976129569,0.0037586254266768204,0.003418883478507051,0.0022522751281678355,0.002277409212006365,0.0006906138854146926
47,72,0.005618333193698977,0.002257359374357115,0.01848,0.009137428976129569,0.0037586254266768204,0.003418883478507051,0.0022522751281678355,0.002277409212006365,0.0006906138854146926
48,73,0.005618333193698977,0.002257359374357115,0.020353,0.009137428976129569,0.0037586254266768204,0.003418883478507051,0.0022522751281678355,0.002277409212006365,0.0006906138854146926
49,74,0.005618333193698977,0.002257359374357115,0.022372,0.009137428976129569,0.0037586254266768204,0.003418883478507051,0.0022522751281678355,0.002277409212006365,0.0006906138854146926
