gene,strategy,total QALYs,total QALYs disc,total LE,healthy,HSBO total,hysterectomy total,HSBO false positive,total disc cost,total cost,OC incidence,OC death,EC incidence,EC death,Cancer Incidence,Cancer Mortality,HSBO death comps,lifetime ec risk,lifetime oc risk,lifetime total risk,changed param,param value,cost per QALY
MLH1,"HSBO: Never, Survey: 35",40.12209912248715,22.133189239631804,45.83888828473998,0.0,0.7575924825125692,0.0,0.7575924825125692,22687.353996807513,42907.89931065478,0.05346903340459215,0.043705244960989126,0.11123068396243216,0.03440925099477113,0.16469971736702432,0.07811449595576025,0.0012880212231005945,0.3438,0.1508,0.4946,ec lifetime risk,-3,1025.0377273322824
MLH1,"HSBO: 35, Survey: Never",40.73118896742014,22.109865949368718,47.0553217940283,0.0,0.9771387834334254,0.0,0.0,8488.630971402563,11805.688149749441,0.009981661703438931,0.008160112205252338,0.006167218088765067,0.0029698953788935755,0.016148879792203998,0.011130007584145913,0.0016680168439127657,0.3438,0.1508,0.4946,ec lifetime risk,-3,383.92955393042223
MLH1,"HSBO: 40, Survey: Never",40.86937729430587,22.30140536839619,46.75167264073201,0.0,0.9560710134120746,0.0,0.0,8981.564910703213,14243.860563644635,0.01975831709101343,0.016609038693831034,0.012207772031111045,0.00579982044454474,0.03196608912212447,0.022408859138375772,0.0016326959457276043,0.3438,0.1508,0.4946,ec lifetime risk,-3,402.73537753953326
MLH1,"HSBO: 50, Survey: Never",40.003893290588344,22.173550036778582,45.253375735929346,0.0,0.79496775085604,0.0,0.0,14366.184799306962,28784.028096365626,0.057388127164217866,0.0473874708392598,0.11817990497172394,0.049478075467888016,0.1755680321359418,0.09686554630714782,0.0013779113000351923,0.3438,0.1508,0.4946,ec lifetime risk,-3,647.8973721157963
MLH1,Nat Hist,38.71071517932947,21.793218872091654,44.203278438700345,0.42296201307218884,0.0,0.0,0.0,18264.879981935865,43173.95677147012,0.12019391954806993,0.09049350493776166,0.29821972722278844,0.10111308827645718,0.41841364677085835,0.19160659321421886,0.0,0.3438,0.1508,0.4946,ec lifetime risk,-3,838.0992311936916
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",40.97392162689274,22.50337629872912,46.04422624264995,0.0,0.8692426491872259,0.0473164524951509,0.0,15700.80433768165,28210.47381570391,0.05927022882071154,0.04878611342663219,0.012207772031111045,0.00579982044454474,0.07147800085182258,0.054585933871176925,0.0015348804362497672,0.3438,0.1508,0.4946,ec lifetime risk,-3,697.7088295220994
MLH1,"HSBO: 35, Survey: 30",40.73211693586729,22.080503432310778,47.16173702786338,0.0,0.9794538042112668,0.0,0.25458403073407365,13506.946905809971,17796.652638044052,0.008367148090734815,0.005805808353616959,0.0060953436960983045,0.0025719232604475904,0.01446249178683312,0.008377731614064549,0.0016704426978221042,0.3652,0.1508,0.516,ec lifetime risk,-2,611.7137205325231
MLH1,"HSBO: 40, Survey: 30",40.84400651981613,22.211359002321377,47.017727774170254,0.0,0.9657349723025029,0.0,0.4406767111759679,16724.917729905068,23579.781889529626,0.014432355310896842,0.010079935908132491,0.01051506944330117,0.004302475195867157,0.024947424754198012,0.014382411103999647,0.0016459925329567022,0.3652,0.1508,0.516,ec lifetime risk,-2,752.9893928668253
MLH1,"HSBO: 50, Survey: 30",40.583859972241704,22.194711678885053,46.55425742710809,0.0,0.8991080137399791,0.0,0.6619996483949426,21618.7759462448,34409.631024858594,0.02953339150198898,0.019883409866255104,0.05528435364929253,0.019592390447571068,0.08481774515128152,0.03947580031382617,0.0015366211721960803,0.3652,0.1508,0.516,ec lifetime risk,-2,974.0507675444071
MLH1,"HSBO: Never, Survey: 30",40.21944841780957,22.071940820900927,46.191638059021095,0.0,0.814021646584267,0.0,0.814021646584267,23815.838988051113,40461.734688813885,0.040371590000276146,0.03307917835312124,0.0881431194477936,0.027110177947670486,0.12851470944806975,0.060189356300791724,0.0013839184578754353,0.3652,0.1508,0.516,ec lifetime risk,-2,1079.0097337293878
MLH1,"HSBO: 40, Survey: 35",40.86703971565283,22.28021133566009,46.84713613685934,0.0,0.9575397834998514,0.0,0.24922466998885898,13252.66023346978,20194.64333688925,0.018159314439416218,0.013922676439792406,0.013227744822369143,0.00583338100996511,0.03138705926178536,0.019756057449757516,0.0016335416400159255,0.3652,0.1508,0.516,ec lifetime risk,-2,594.817528155962
MLH1,"HSBO: 50, Survey: 35",40.51609631562075,22.25775373111892,46.22190447059821,0.0,0.8676585546704025,0.0,0.5477941679003766,19854.582333649814,34804.347416469136,0.038530943562778024,0.027147777887679605,0.07362249140941614,0.026459812129909218,0.11215343497219415,0.05360759001758882,0.0014859972748519574,0.3652,0.1508,0.516,ec lifetime risk,-2,892.0299224036613
MLH1,"HSBO: Never, Survey: 35",40.071118666856826,22.11407530103552,45.80143887653807,0.0,0.7528751786678451,0.0,0.7528751786678451,22815.551360475125,43168.50508663559,0.05315191111616513,0.04347467652532669,0.1179496873599383,0.03660147240025616,0.17110159847610343,0.08007614892558285,0.0012799979630891082,0.3652,0.1508,0.516,ec lifetime risk,-2,1031.7207954612852
MLH1,"HSBO: 35, Survey: Never",40.716098212160624,22.10368430087591,47.041407779509846,0.0,0.9760467887221765,0.0,0.0,8539.645761948212,11893.270945057431,0.009977216834858332,0.00815678459868196,0.007265437825045258,0.0034988284825114473,0.01724265465990359,0.011655613081193408,0.001666525448831431,0.3652,0.1508,0.516,ec lifetime risk,-2,386.34490276400703
MLH1,"HSBO: 40, Survey: Never",40.84101100641959,22.289988238261692,46.72625144204076,0.0,0.9539349619407366,0.0,0.0,9074.621968541629,14409.596758090038,0.019738597763856752,0.016593266389574625,0.014373703326346018,0.006829118409403546,0.03411230109020277,0.023422384798978173,0.0016294127101186646,0.3652,0.1508,0.516,ec lifetime risk,-2,407.11649874111026
