gene,strategy,total QALYs,total QALYs disc,total LE,healthy,HSBO total,hysterectomy total,HSBO false positive,total disc cost,total cost,OC incidence,OC death,EC incidence,EC death,Cancer Incidence,Cancer Mortality,HSBO death comps,lifetime ec risk,lifetime oc risk,lifetime total risk,changed param,param value,cost per QALY,icers
MLH1,Nat Hist,38.40023816081507,21.684053255988363,43.96967068299034,0.3811170416053365,0.0,0.0,0.0,19436.894962517705,46026.107566171675,0.1165853429608761,0.0882457437457165,0.3524644910275157,0.1183025057957067,0.4690498339883918,0.2065482495414233,0.0,0.408,0.1508,0.5588,,,896.3681620340019,
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",40.88809844051828,22.46775866491148,45.972678397218566,0.0,0.8634156099182654,0.0470003296260798,0.0,15934.970023119404,28614.030351271493,0.0589460680581647,0.0485234355691594,0.0187055991075023,0.008887985711154,0.0776516671656671,0.0574114212803134,0.0015245912395754,0.408,0.1508,0.5588,,,709.2371900898814,33269.03888568447
MSH2,"HSBO: 35, Survey: 30",40.67245967351117,22.056106249436326,47.108373423969624,0.0,0.9751101194259923,0.0,0.2541945716568941,13771.38150120802,18259.766081227608,0.009193312622182,0.0063797935129837,0.0096193275793288,0.0040590226240157,0.0188126402015109,0.0104388161369995,0.0016643364677294,0.55036,0.22368,0.77404,,,624.3795412238716,
MSH2,"HSBO: 40, Survey: 30",40.74629226095195,22.171982093961823,46.93270304845131,0.0,0.9583365497451728,0.0,0.4390139394901996,17131.11890563635,24320.999015721576,0.0158207566382435,0.0110515164947927,0.0165559474629524,0.0067752279885184,0.0323767041011959,0.0178267444833112,0.0016343113623599,0.55036,0.22368,0.77404,,,772.6471559032033,
MSH2,"HSBO: 50, Survey: 30",40.16256257983624,22.039230773934374,46.20013918648158,0.0,0.8652825554030966,0.0,0.6512912785511412,23660.15869108754,38778.443885665176,0.0456794807620103,0.0303062204127994,0.0733259365176481,0.0261975237771211,0.1190054172796585,0.0565037441899206,0.0014816434666737,0.55036,0.22368,0.77404,,,1073.5473907315416,
MSH2,"HSBO: Never, Survey: 30",39.65236186951619,21.867478688649737,45.70079765105486,0.0,0.773443779669239,0.0,0.773443779669239,26022.101056064155,45003.56891847124,0.0555748241619847,0.0457188697801434,0.12698658931721,0.0390302820571038,0.1825614134791947,0.0847491518372472,0.0013149066864711,0.55036,0.22368,0.77404,,,1189.990918777978,
MSH2,"HSBO: 40, Survey: 35",40.733068138684494,22.22557173827562,46.72482876948515,0.0,0.9482393931910512,0.0,0.2475523818084227,13781.500568237665,21125.547562863918,0.0199037306848528,0.0152665341535187,0.0208243978993279,0.0091866929542118,0.0407281285841807,0.0244532271077305,0.0016189409822575,0.55036,0.22368,0.77404,,,620.0740629094345,
MSH2,"HSBO: 50, Survey: 35",39.94548100567775,22.04645932558581,45.73642970317361,0.0,0.8226879076496196,0.0,0.5339638943320937,22590.69409096914,40632.00393143282,0.0601900955702727,0.0412456089654965,0.0974203195508603,0.0353918881865622,0.1576104151211331,0.0766374971520588,0.0014129564758062,0.55036,0.22368,0.77404,,,1024.6858126897375,
MSH2,"HSBO: Never, Survey: 35",39.30836159008838,21.838851757410488,45.13825419553661,0.0,0.6987760347072847,0.0,0.6987760347072847,25774.300362390448,49250.764778320394,0.0735412157730474,0.0604197570786731,0.1698210232685467,0.0527062643940261,0.2433622390415942,0.1131260214726992,0.0011879897712939,0.55036,0.22368,0.77404,,,1180.2040074586137,
MSH2,"HSBO: 35, Survey: Never",40.633450802533616,22.069228267784034,46.961848972302725,0.0,0.9708708407301856,0.0,0.0,8878.518623590291,12450.400005404343,0.0109617669632274,0.008963293066973,0.0114652840087018,0.0055219000459645,0.0224270509719292,0.0144851931129376,0.0016594518341487,0.55036,0.22368,0.77404,,,402.3030853575824,0.0
MSH2,"HSBO: 40, Survey: Never",40.684972117515244,22.226273877355997,46.57880990767861,0.0,0.9438427875400934,0.0,0.0,9692.023094856466,15463.009041991005,0.0216295274162835,0.0181870606412553,0.0226230566325302,0.0107505812805843,0.0442525840488137,0.0289376419218396,0.0016138904728619,0.55036,0.22368,0.77404,,,436.0615345755568,5180.052301260951
MSH2,"HSBO: 50, Survey: Never",38.814744669736974,21.735586392546786,44.1521332738493,0.0,0.7133752937469056,0.0,0.0,19686.729708765226,39615.096041704805,0.0954438808728285,0.07811325997263,0.1628061035439125,0.0687124262039319,0.2582499844167411,0.146825686176562,0.0012483542125878,0.55036,0.22368,0.77404,,,905.7372252683222,
MSH2,Nat Hist,36.986631662555915,21.193935860502883,42.722901174576045,0.2631391955317259,0.0,0.0,0.0,26199.05183869468,61495.467488397575,0.1585136859691316,0.1208935380473374,0.4569605636894949,0.1547688854136246,0.6154742496586265,0.2756624234609621,0.0,0.55036,0.22368,0.77404,,,1236.1579279627506,
MSH2,"Hyst+Salp: 40, Oophorectomy: 50",40.06596797932071,22.16596312287095,45.15920746420472,0.0,0.8195061953106687,0.0452032982353021,0.0,20251.239568768273,37404.86868793396,0.1007628214104066,0.082087590522652,0.0226230566325302,0.0107505812805843,0.1233858780429368,0.0928381718032363,0.0014539511745938,0.55036,0.22368,0.77404,,,913.6187521611884,
MSH6,"HSBO: 35, Survey: 30",40.66375554308631,22.052419130254147,47.09984875799712,0.0,0.9746921471509606,0.0,0.2541524587018183,13830.383716086575,18358.97975014632,0.0096137138424577,0.0066716072592003,0.00961744323031,0.0040582425450678,0.0192311570727677,0.0107298498042682,0.001663748613213,0.46764,0.1601,0.62774,,,627.1594800732042,
MSH6,"HSBO: 40, Survey: 30",40.731858058175796,22.166002020710167,46.91868258770845,0.0,0.9576263528407696,0.0,0.438846434555128,17224.12906303578,24483.613190486903,0.0165405941123061,0.0115545426473679,0.0165490718159573,0.0067725085261743,0.0330896659282634,0.0183270511735423,0.0016331895658678,0.46764,0.1601,0.62774,,,777.0516779229249,
MSH6,"HSBO: 50, Survey: 30",40.58137597623088,22.187409957085304,46.548341012501055,0.0,0.9011287142550756,0.0,0.6597642191586203,21526.243222271645,33993.20297302567,0.027018468635092,0.0184344011664402,0.0558056433437614,0.0201762020711757,0.0828241119788534,0.0386106032376159,0.0015389897015529,0.46764,0.1601,0.62774,,,970.2008149625178,
